Compound Name	Chemical Formula	SMILES	Names	Object ID	InChI-Key
2,6,7,4'-tetrahydroxyisoflavanone	C15H12O6	C3(\C(C1(C(C2(\C(\OC1O)=C/C(/O)=C(/C=2)/O))=O))=C/C=C(\C=3)/O)	2,6,7,4'-tetrahydroxyisoflavanone	CPD-6997	InChIKey=CHAPEFQUHPSDAL-UHFFFAOYSA-N
2,6,8-trihydroxy-7-methylnaphthalene-1,4-dione	C11H8O5	CC1(/C(/O)=C\C2(\C(=O)/C=C(C(=O)C(/C(/O)=1)=2)/O))	2,6,8-trihydroxy-7-methylnaphthalene-1,4-dione	CPD-21942	InChIKey=DVEXZXAMOKCYGY-UHFFFAOYSA-N
2,6-<i>bis</i>-(1,1-dimethylethyl)-4-methylphenol	C15H24O1	CC1(\C=C(C(C)(C)C)/C(/O)=C(\C=1)/C(C)(C)C)	2,6-bis-(1,1-dimethylethyl)-4-methylphenol	CPD-18942	InChIKey=NLZUEZXRPGMBCV-UHFFFAOYSA-N
2,6-diamino-4-hydroxy-5-(<i>N</i>-methyl)formamidopyrimidine	C6H9N5O2	CN(C=O)C1(\C(\O)=N/C(\N)=N\C(/N)=1)	2,6-diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine // N-(2,4-diamino-6-hydroxypyrimidin-5-yl)-N-methylformamide	CPD-16491	InChIKey=CGWDNAFNQOBSCK-UHFFFAOYSA-N
2,6-diamino-4-hydroxy-5-formamidopyrimidine	C5H7N5O2	C(=O)N[C-]1(C(=O)\N=C(N)/[NH+]=C1/N)	2,6-diamino-4-hydroxy-5-formamidopyrimidine	CPD-13317	InChIKey=MFIUKRIIWIMTRU-UHFFFAOYSA-O
2,6-diaminopimelate	C7H14N2O4	C([R])(=O)[O-]	2,6-diaminopimelate // diaminopimelate	CPD-20332	InChIKey=GMKMEZVLHJARHF-UHFFFAOYSA-N
2,6-diaminopurine	C5H8N6	C1(\NC2(C(N)NC(/N)=N/C(\N=1)=2))	2,6-diaminopurine	CPD0-2060	InChIKey=VMBIKMLKDBHIRB-UHFFFAOYSA-N
2,6-diaminopyridine	C5H8N3	C1(\C=C(N)/[NH+]=C(\C=1)/N)	2,6-diaminopyridine // 2,6-pyridinediamine // pyridine, 2,6-diamino- // pyridine-2,6-diyldiamine	DAP	InChIKey=VHNQIURBCCNWDN-UHFFFAOYSA-O
2,6-dibromo-4-(2,4,6-tribromophenoxy)phenol	C12H5O2Br5	Br[R]	2,6-dibromo-4-(2,4,6-tribromophenoxy)phenol	CPD-20587	InChIKey=WVVITAMDLUEXSZ-UHFFFAOYSA-N
2,6-dibromo-4-(2,4-dibromophenoxy)phenol	C12H6O2Br4	Br[R]	2,6-dibromo-4-(2,4-dibromophenoxy)phenol // para-OH-BDE	CPD-20559	InChIKey=XPEXQXQNICTMKI-UHFFFAOYSA-N
2,6-dichloro-3-(glutathion-<i>S</i>-yl)-hydroquinone	C16H18N3O8S1Cl2	C1([R4])(C(\[R4])=C(C(/[R2])=C([R1])/C(/O)=1)/O)	2,6-dichloro-3-(glutathion-S-yl)-hydroquinone	CPD-19761	InChIKey=MGSQNPUEAQIQMC-YUMQZZPRSA-M
2,6-dichloro-4-nitrophenol	C6H2N1O3Cl2	C1(/C(/Cl)=C(C(/Cl)=C\C(\[N+]([O-])=O)=1)/[O-])	2,6-dichloro-4-nitrophenol // DCNP // 4-nitro-2,6-dichlorophenol // phenol, 2,6-dichloro-4-nitro-	CPD-11436	InChIKey=PXSGFTWBZNPNIC-UHFFFAOYSA-M
2,6-dichlorobenzonitrile	C7H3N1Cl2	C(#N)[R]	2,6-dichlorobenzonitrile // dichlobenil // 2,6-dichlorophenyl cyanide // dichlobanil // 2,6-dichlorobenzoic acid nitrile // DCB	CPD-19830	InChIKey=YOYAIZYFCNQIRF-UHFFFAOYSA-N
2,6-dichlorobenzoquinone	C6H2O2Cl2	C1(/C(/C=C(C(C(/Cl)=1)=O)/Cl)=O)	2,6-dichlorobenzoquinone	CPD-22339	InChIKey=JCARTGJGWCGSSU-UHFFFAOYSA-N
2,6-dichlorohydroquinone	C6H3O2Cl2	C1(/C(/O)=C\C(\Cl)=C(C(/Cl)=1)\[O-])	2,6-dichlorohydroquinone // 2,6-DiCH // DiCH // 2,6-dichloro-p-hydroquinone	26-DICHLORO-P-HYDROQUINONE	InChIKey=QQAHQUBHRBQWBL-UHFFFAOYSA-M
2,6-dichlorophenol	C6H3O1Cl2	Cl[R]	2,6-dichlorophenol // 2,6-DCP	CPD-10865	InChIKey=HOLHYSJJBXSLMV-UHFFFAOYSA-M
2,6-dideoxy-2-acetamidino-&beta;-L-galactose	C8H17N2O4	C(OP(OP(O[R])([O-])=O)([O-])=O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)	2,6-dideoxy-2-acetamidino-beta-L-galactose // L-FucNAm	CPD-15672	InChIKey=XBSVYAGRRNCOLB-TZZNRFIBSA-O
2,6-diethylaniline	C10H15N1	CCC1(/C=C\C=C(CC)/C(/N)=1)	2,6-diethylaniline	CPD-18946	InChIKey=FOYHNROGBXVLLX-UHFFFAOYSA-N
2,6-dihydroxynicotinate	C6H4N1O4	C1(/C=C(/N=C(C(/C(=O)[O-])=1)/O)/O)	2,6-dihydroxynicotinate	CPD-6962	InChIKey=IGCZQNUHGOYVJI-UHFFFAOYSA-M
2,6-dihydroxypseudooxynicotine	C10H15N2O3	C[NH2+]CCCC(=O)C1(\C(\O)=N/C(/O)=C\C=1)	2,6-dihydroxypseudooxynicotine // 2,6-dihydroxy-pseudo-oxynicotine	CPD-113	InChIKey=JJJLAXLRPLCXNT-UHFFFAOYSA-O
2,6-dihydroxypyridine	C5H5N1O2	C1(\C=C(/N=C(\C=1)/O)\O)	2,6-dihydroxypyridine	CPD-123	InChIKey=WLFXSECCHULRRO-UHFFFAOYSA-N
2,6-dimethoxy-1,4-benzoquinone	C8H8O4	COC1(\C(=O)C(/OC)=C\C(=O)/C=1)	2,6-dimethoxy-1,4-benzoquinone // 2,6-dimethoxy-p-benzoquinone	CPD-14556	InChIKey=OLBNOBQOQZRLMP-UHFFFAOYSA-N
2,6-dimethoxyphenol	C8H10O3	COC1(/C=C\C=C(C(\O)=1)\OC)	2,6-dimethoxyphenol // DMP // 1,3-di-O-methylpyrogallol // 1,3-dimethoxy-2-hydroxybenzene // 1,3-dimethyl pyrogallate // 2-hydroxy-1,3-dimethoxybenzene // pyrogallol 1,3-dimethyl ether	CPD-12797	InChIKey=KLIDCXVFHGNTTM-UHFFFAOYSA-N
2,6-dimethoxypyridine	C6H8N2O2	COC1(\C=C/N=C(/N=1)/OC)	2,6-dimethoxypyridine	CPD-14079	InChIKey=KEVRHVMWBKFGLO-UHFFFAOYSA-N
2,6-dimethyl-4-tridecyl-morpholine	C19H40N1O1	CCCCCCCCCCCCC[NH+]1(CC(OC(C1)C)C)	2,6-dimethyl-4-tridecyl-morpholine // tridemorph // 4-tridecyl-2,6-dimethylmorpholine // kalixin // calixine // kalinin // morpholine, 2,6-dimethyl-4-tridecyl- // morpholine, 2,6-dimethyl-N-tridecyl-	CPD-4505	InChIKey=YTOPFCCWCSOHFV-UHFFFAOYSA-O
2,6-dimethyldeca-2,4,6,8-tetraenedial	C12H14O2	C(=O)[R]	2,6-dimethyldeca-2,4,6,8-tetraenedial // 14,8'-diapocarotene-14,8'-dial	CPD-15222	InChIKey=NOURWHKLHSWPGX-KIUBFKPTSA-N
2,6-dinitrotoluene	C7H6N2O4	CC1(/C(/[N+](=O)[O-])=C\C=C/C(/[N+]([O-])=O)=1)	2,6-dinitrotoluene // 2,6-DNT	CPD-9133	InChIKey=XTRDKALNCIHHNI-UHFFFAOYSA-N
2,6-dioxo-6-phenylhexa-3-enoate	C12H9O4	C([O-])(=O)C(/C=C/CC(C1(\C=C/C=C\C=1))=O)=O	2,6-dioxo-6-phenylhexa-3-enoate	CPD-14298	InChIKey=QPGAZPBFRAAJBD-XBXARRHUSA-M
2,6-dioxo-6-phenylhexanoate	C12H11O4	C1(\C=C/C(/C(=O)CCCC(=O)C(=O)[O-])=C\C=1)	2,6-dioxo-6-phenylhexanoate	26-DIOXO-6-PHENYLHEXANOATE	InChIKey=WHAWELFEJQCZFJ-UHFFFAOYSA-M
2,7-anhydro-&alpha;-<i>N</i>-acetylneuraminate	C11H16N1O8	CC(=O)N[C@@H]2([C@@H](O)C[C@]1(O[C@H]([C@H](O)CO)[C@H](O1)2)(C([O-])=O))	2,7-anhydro-alpha-N-acetylneuraminate // 2,7-AN	CPD-6182	InChIKey=NCMJSVDTRDLWJE-YRMXFSIDSA-M
2,7-dihydroxy-5-methyl-1-naphthoate	C12H9O4	C([R])(=O)[O-]	2,7-dihydroxy-5-methyl-1-naphthoate // 2,7-dihydroxy-5-methyl-1-naphthoic acid	CPD-16518	InChIKey=BLBGRTHACSTGEL-UHFFFAOYSA-M
2,7-dihydroxycadalene	C15H18O2	CC(C1(\C2(/C=C(C)\C(\O)=C/C(/C(\C)=C(\C=1)/O)=2)))C	2,7-dihydroxycadalene	CPD-9752	InChIKey=OKOXDXHTJZNGOM-UHFFFAOYSA-N
2,7-dihydroxynaphthalene	C10H8O2	C1(\C2(\C=C/C(/O)=C\C(/C=C(\C=1)/O)=2))	2,7-dihydroxynaphthalene // 2,7-naphthalenediol // naphthalene-2,7-diol // naphthalenediol-2,7	CPD-16636	InChIKey=DFQICHCWIIJABH-UHFFFAOYSA-N
2,7-dimethyl-deca-2,4,6,8-tetraenedial	C12H14O2	CC(/C=C/C=O)=C\C=C\C=C(C)\C=O	2,7-dimethyl-deca-2,4,6,8-tetraenedial	CPD-21189	InChIKey=GFXWLWOPYGKKOJ-SZZOTQSASA-N
2-((1R,3S),-1',9'-dihydroxy-1'-methyl-10'-oxo-3',4',5',10'-tetrahydro-1H-benzo[g]isochromen-3'-yl)acetate	C16H15O6	CC1(O)(O[C@H](CC(=O)[O-])CC2(CC3(/C=C\C=C(C(/C(=O)C1=2)=3)\O)))	2-((1R,3S),-1',9'-dihydroxy-1'-methyl-10'-oxo-3',4',5',10'-tetrahydro-1H-benzo[g]isochromen-3'-yl)acetate // 2-((1R,3S),-1',9'-dihydroxy-1'-methyl-10'-oxo-3',4',5',10'-tetrahydro-1H-benzo[g]isochromen-3'-yl)acetic acid // hemiketal // intermediate6	CPD1A0-6106	InChIKey=YIEUIGLDTPWIHC-VQVVDHBBSA-M
2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole	C14H16N2O3S1	C1(CCOC(O1)CCSC3(\OC(/C2(\C=C/C=C\C=2))=N/N=3))	2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole	CPD-20001	InChIKey=OFHWAPIIXDHHLK-UHFFFAOYSA-N
2-((2-bromoethyl)-2-{[(2-hydroxyethyl)amino]carbonyl}-4,6-dinitroanilino)ethyl methanesulfonate	C14H19N4O9S1Br1	CS(=O)(=O)OCCN(CCBr)C1(/C(/C(=O)NCCO)=C\C(\[N+]([O-])=O)=C/C(/[N+]([O-])=O)=1)	2-((2-bromoethyl)-2-{[(2-hydroxyethyl)amino]carbonyl}-4,6-dinitroanilino)ethyl methanesulfonate // PR-104A	CPD0-2628	InChIKey=AZICEEZSDKZDHX-UHFFFAOYSA-N
2-((6-O-(&beta;-D-apiofuranosyl)&beta;-D-glucopyranosyl)oxy)-2-methylbutanenitrile	C16H27N1O10	C(#N)[R]	2-((6-O-(beta-D-apiofuranosyl)beta-D-glucopyranosyl)oxy)-2-methylbutanenitrile // butanenitrile, 2-[(6-O-D-apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-methyl-	CPD-15065	InChIKey=MTXHSRQBZHUBTP-JGPBSLDXSA-N
2-((6-O-(&beta;-D-apiofuranosyl)&beta;-D-glucopyranosyl)oxy)propane	C14H26O10	C([C@H]1(OC(O[R])[C@@H]([C@H]([C@@H]1O)O)O))O	2-((6-O-(beta-D-apiofuranosyl)beta-D-glucopyranosyl)oxy)propane // beta-D-glucopyranoside, 1-methylethyl 6-O-D-apio-beta-D-furanosyl-	CPD-15066	InChIKey=ADFAUEYXQCOXBX-LYYOMZSZSA-N
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA	C29H38N7O18P3S1	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC12(OC1\C=C/C=C\2))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA // 2-{7-oxabicyclo[4.1.0]hepta-2,4-dien-1-yl}acetyl-CoA	CPD0-2362	InChIKey=ZTMHVINYLDVBNO-FOGVYBFTSA-J
2-(1,3-dioxoisoindolin-2-yl)ethanesulfonate	C10H8N1O5S1	C(S(=O)(=O)[O-])CN1(C(=O)C2(\C(\C(=O)1)=C/C=C\C=2))	2-(1,3-dioxoisoindolin-2-yl)ethanesulfonate // 1,3-dioxo-2-isoindolineethanesulfonic acid // 1,3-dioxo-2-isoindolineethanesulfonate	CPD0-1957	InChIKey=GSLVEXPADWBUAC-UHFFFAOYSA-M
2-(2,4-dichloro-5-oxofuran-2-yl)propanoate	C7H5O4Cl2	CC(C([O-])=O)C1(OC(=O)C(/Cl)=C\1)(Cl)	2-(2,4-dichloro-5-oxofuran-2-yl)propanoate	CPD-18475	InChIKey=BPZDQHNUFMZFMW-UHFFFAOYSA-M
2-(2,4-dihydroxy-6-methylbenzoyl)benzene-1,3,5-triol	C14H12O6	CC2(\C(\C(=O)C1(/C(/O)=C\C(\O)=C/C(/O)=1))=C(/C=C(\C=2)/O)\O)	2-(2,4-dihydroxy-6-methylbenzoyl)benzene-1,3,5-triol	CPD-17791	InChIKey=KKACYWFPFLWVTP-UHFFFAOYSA-N
2-(2,6-dinitrophenoxy)-propanoate	C9H7N2O7	CC(OC1(/C(/[N+]([O-])=O)=C\C=C/C(/[N+]([O-])=O)=1))C(=O)[O-]	2-(2,6-dinitrophenoxy)-propanoate // 2-(2,6-dinitrophenoxy)-propionate	CPD-19609	InChIKey=KCDGXLLLUFWFGY-UHFFFAOYSA-M
2-(2,8-dihydroxytridecyl)-6-oxopyran-4-olate	C18H29O5	CCCCCC(O)CCCCCC(O)CC1(\OC(=O)/C=C(\C=1)/[O-])	2-(2,8-dihydroxytridecyl)-6-oxopyran-4-olate	CPD-17646	InChIKey=BRNMYGIMJVYGAY-UHFFFAOYSA-M
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate	C7H7N1O6P1S1	CC1(\N=C(C(=O)[O-])/SC(/CCOP([O-])(=O)[O-])=1)	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate // cThz-P	CPD-13576	InChIKey=XWECMAHAKFWYNV-UHFFFAOYSA-K
2-(2-carboxylethyl)-3-isoxazolin-5-one	C6H6N1O4	C([O-])(=O)CCN1(\C=C/C(=O)O1)	2-(2-carboxylethyl)-3-isoxazolin-5-one	CPD-16451	InChIKey=VMNRJSTVDJEIPJ-UHFFFAOYSA-M
2-(2-chloro-4-methyl-5-oxofuran-2-yl)acetate	C7H6O4Cl1	C1([R2])(C([R1])C(=O)OC([R3])1)	2-(2-chloro-4-methyl-5-oxofuran-2-yl)acetate	CPD-10652	InChIKey=WCAGDVBWQCDCAR-UHFFFAOYSA-M
2-(2-methylpyridin-3-yl)ethanol	C8H11N1O1	CC1(\N=C/C=C\C(/CCO)=1)	2-(2-methylpyridin-3-yl)ethanol // 3-pyridineethanol, 2-methyl-	CPD-15779	InChIKey=MFPDJTXHKIFPNP-UHFFFAOYSA-N
2-(2-phenylethyl)-thiohydroximate-O-sulfate	C9H10N1O4S2	C(S)([R])=NOS(=O)(=O)[O-]	2-(2-phenylethyl)-thiohydroximate-O-sulfate	CPD-19508	InChIKey=MSTIYWNIGNAAMW-UHFFFAOYSA-M
2-(3,5-dihydroxyphenyl)-2-oxoacetate	C8H5O5	C([R])(=O)C([O-])=O	2-(3,5-dihydroxyphenyl)-2-oxoacetate // (3,5-dihydroxyphenyl)(oxo)acetate // (3,5-dihydroxyphenyl)glyoxylate	CPD-15753	InChIKey=IXVSXZQERGYQTA-UHFFFAOYSA-M
2-(3-benzoylphenyl)-3,5,7-trihydroxychromen-4-one	C22H12O6	C3([R3])(C(/[R2])=C([R1])/C(/C1(/OC2(/C(\[R10])=C([R9])\C(/[R8])=C([R7])/C(/C(=O)C(/[R6])=1)=2)))=C([R5])\C(/[R4])=3)	2-(3-benzoylphenyl)-3,5,7-trihydroxychromen-4-one // BPKae	CPD-15122	InChIKey=ZSVFHCCTKLLREN-UHFFFAOYSA-L
2-(3-hydroxy-2-oxo-1<i>H</i>-indol-3-yl)acetate	C10H8N1O4	C([O-])(=O)CC1(O)(C(=O)NC2(\C/1=C/C=C\C=2))	2-(3-hydroxy-2-oxo-1H-indol-3-yl)acetate // 3-OH-2-oxindole-3-acetate // 3-hydroxy-2-oxindole-3-acetate // 3-hydroxy-2-oxo-indole-3-acetate // dioxindole-3-acetate // (3-hydroxy-2-oxo-indol-3-yl)acetate // DiOxIAA	DIOXINDOLE-3-ACETATE	InChIKey=MHLHEINWUCSPTL-UHFFFAOYSA-M
2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol	C12H17N1O3	C/C=C/C1(OC1C2(OC2C3(O)(NCC\C=C/3)))	2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol	CPD-19928	InChIKey=QSYTXMHEWSENTC-GORDUTHDSA-N
2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine	C12H15N1O2	C/C=C/C1(OC1C2(OC2C3(\C=C/CC/N=3)))	2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine	CPD-19926	InChIKey=NRSAEIUAIRCEAW-GORDUTHDSA-N
2-(4-amino-4-carboxybutyl)aziridine-2-carboxylate	C8H13N2O4	C(C[C@@H](C(=O)[O-])[NH3+])C[C@@]1(C(=O)[O-])(CN1)	2-(4-amino-4-carboxybutyl)aziridine-2-carboxylate // 2-(4-amino-4-carboxybutyl)aziridine-2-carboxylic acid // aziridino-DAP	CPD0-1537	InChIKey=PZLRXNWCQLUSBF-XNCJUZBTSA-M
2-(4-hydroxybenzyl)-malate	C11H10O6	C([O-])(=O)C[C@](C([O-])=O)(CC1(\C=C/C(/O)=C\C=1))O	2-(4-hydroxybenzyl)-malate // 2-(4-hydroxybenzyl)-malic acid	CPD-17726	InChIKey=XLGKDRSWPCQYAB-NSHDSACASA-L
4-hydroxyphenylglyoxylate	C8H5O4	C([R])(=O)C([O-])=O	4-hydroxyphenylglyoxylate // p-hydroxybenzoylformate // 2-(4-hydroxyphenyl)-2-oxoacetate // 4-hydroxybenzoylformate // 2-(4-hydroxyphenyl)-2-oxo-acetic acid	CPD-142	InChIKey=KXFJZKUFXHWWAJ-UHFFFAOYSA-M
2-(4-pyridyl)ethanesulfonate	C7H8N1O3S1	C1(\C=C(CCS(=O)(=O)[O-])/C=C\N=1)	2-(4-pyridyl)ethanesulfonate	CPD0-2544	InChIKey=RGIIAYDCZSXHGL-UHFFFAOYSA-M
2-(4-sulfophenyl)butanoate	C10H10O5S1	C1(C(/[R4])=C([R5])/C(/OS(=O)(=O)[O-])=C([R1])\C(/[R2])=1)[R3]	2-(4-sulfophenyl)butanoate // 2-(4-sulfophenyl)butyrate	CPD-10430	InChIKey=UBOLIQIJRBLRGQ-UHFFFAOYSA-L
2-(4-sulfophenyl)decane	C16H25O3S1	CCCCCCCCC(C)C1(\C=C/C(/S(=O)(=O)[O-])=C\C=1)	2-(4-sulfophenyl)decane // 4-decan-2-ylbenzenesulfonic acid // 4-(decan-2-yl)benzenesulfonic acid	CPD-16869	InChIKey=CKICALMPWLOSSS-UHFFFAOYSA-M
2-(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-1<i>H</i>-indole-5,6-diol	C16H12N2O4	C3(\C4(/C=C(C(/O)=C\C(NC(/C1(/NC2(/C=C(C(/O)=C\C(\C=1)=2)/O)))=3)=4)/O))	2-(5,6-dihydroxy-1H-indol-2-yl)-1H-indole-5,6-diol // 5,6,5',6'-tetrahydroxy-2,2'-biindolyl	CPD-12408	InChIKey=JOKGEXDXSDUJIL-UHFFFAOYSA-N
2-(5,6-dihydroxy-1<i>H</i>-indol-4-yl)-1<i>H</i>-indole-5,6-diol	C16H12N2O4	C3(\C4(\C(\C1(\NC2(/C=C(C(/O)=C\C(\C=1)=2)/O)))=C(C(/O)=C\C(\N\C=3)=4)\O))	2-(5,6-dihydroxy-1H-indol-4-yl)-1H-indole-5,6-diol	CPD-12409	InChIKey=KXVRIZRVTJPCMG-UHFFFAOYSA-N
2-(5,6-dihydroxy-1<i>H</i>-indol-7-yl)-1<i>H</i>-indole-5,6-diol	C16H12N2O4	C3(\C4(/C=C(C(O)=C(C1(\NC2(/C=C(C(/O)=C\C(\C=1)=2)/O)))C(N\C=3)=4)/O))	2-(5,6-dihydroxy-1H-indol-7-yl)-1H-indole-5,6-diol	CPD-12414	InChIKey=ZRACRUXIUBFFQC-UHFFFAOYSA-N
2-(6-oxo-1-oxaspiro[2.5]octa-4-glucosyl)-6-hydroxy-1-benzofuran-3-one	C21H22O10	C5(/C=C4(C(/OC(C3(OC2(\C=C/C(O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O))\C=C/2)3))C(=O)4)=C\C(\O)=5))	2-(6-oxo-1-oxaspiro[2.5]octa-4-glucosyl)-6-hydroxy-1-benzofuran-3-one	CPD-17479	InChIKey=LYAYHRQWYQGYJH-AOFOMWIKSA-N
2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate	C18H27O5	CCCCCC(O)CCCCCC(=O)CC1(\OC(=O)/C=C(\C=1)/[O-])	2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate	CPD-17645	InChIKey=RGRXEJAZCMLORS-UHFFFAOYSA-M
2-(<i>all-trans</i>-nonaprenyl)benzene-1,4-diol	C51H78O2	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C/C=C(\C=1)/O)	2-(all-trans-nonaprenyl)benzene-1,4-diol // 2-nonaprenyl-4-hydroxyphenol	CPD-16523	InChIKey=PZRKHNNLPWSLFO-XWEAJCOCSA-N
2-(&alpha;-D-galactosyl)-<i>sn</i>-glycerol 3-phosphate	C9H17O11P1	C([C@@H](O[C@H]1(O[C@@H]([C@H](O)[C@@H]([C@H]1O)O)CO))COP([O-])([O-])=O)O	2-(alpha-D-galactosyl)-sn-glycerol 3-phosphate	CPD-456	InChIKey=PLJAVYDLNJODGD-XIBIAKPJSA-L
2-(&alpha;-hydroxyethyl)thiamine diphosphate	C14H20N4O8P2S1	CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C(C(O)C)/SC(/CCOP([O-])(=O)OP([O-])(=O)[O-])=2)	2-(alpha-hydroxyethyl)thiamine diphosphate // 2-(alpha-hydroxyethyl)-TPP // 2-(alpha-hydroxyethyl)-ThPP	2-ALPHA-HYDROXYETHYL-THPP	InChIKey=RRUVJGASJONMDY-UHFFFAOYSA-L
2-(&alpha;-lactyl)-thiamine diphosphate	C15H19N4O10P2S1	CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C(CC(C(=O)[O-])O)/SC(/CCOP([O-])(=O)OP([O-])([O-])=O)=2)	2-(alpha-lactyl)-thiamine diphosphate // 2-(alpha-lactyl)-ThPP // 2-(alpha-lactyl)-thiamine-pyrophosphate // 2-(alpha-lactyl)-TPP	2-ALPHA-LACTYL-THPP	InChIKey=PBCKWCANTYUPCE-UHFFFAOYSA-K
2-(&beta;-D-glucosyl)-sn-glycerol 3-phosphate	C9H17O11P1	C([C@@H](O[C@@H]1(O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO))COP([O-])([O-])=O)O	2-(beta-D-glucosyl)-sn-glycerol 3-phosphate	2-BETA-D-GLUCOSYL-SN-GLYCEROL-3-PHOSPH	InChIKey=PLJAVYDLNJODGD-VMQOHUEUSA-L
2-(cystein-<i>S</i>-yl)-2-(1H-indol-3-yl)-acetonitrile	C13H13N3O2S1	C1(/NC2(/C=C\C=C/C(/C(/C(SC[C@@H](C(=O)[O-])[NH3+])C#N)=1)=2))	2-(cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile // Cys(IAN) // IAN-cysteine conjugate // 2-amino-3-{[cyano(1H-indol-3-yl)methyl]sulfanyl}propanoic acid // indole-3-acetonitrile-cysteine conjugate	CPD-12636	InChIKey=XNBDZHNCVGUXMR-NUHJPDEHSA-N
2-(dihydroxymethyl)furan	C5H6O3	C(O)(O)C1(\O\C=C/C=1)	2-(dihydroxymethyl)furan	CPD-17104	InChIKey=IZWIQVOZAJLLOH-UHFFFAOYSA-N
2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine	C8H15N3O8P1	C(NC=O)C(N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1))=[NH2+]	2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine // 5-phosphoribosyl-N-formylglycineamidine // 5'-phosphoribosyl-N-formyl glycineamidine // 5'-phosphoribosylformylglycinamidine // FGAM	5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	InChIKey=PMCOGCVKOAOZQM-XVFCMESISA-M
2-(geranylfernesyl)phenazine	C37H48N2O1	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COC2(\C=C/C3(/N=C1(\C=C/C=C\C/1=N\C(/C=2)=3)))	2-(geranylfernesyl)phenazine	CPD-19846	InChIKey=AOZDZCJPOWENSD-QVNVCYKHSA-N
2-(glutathion-<i>S</i>-yl)-2-carboxypropane	C14H21N3O8S1	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O	2-(glutathion-S-yl)-2-carboxypropane	CPD-17439	InChIKey=JQWABENXVMJJMW-NPPUSCPJSA-L
2-(glutathion-<i>S</i>-yl)-2-methylbut-3-en-1-ol	C15H24N3O7S1	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(CO)C	2-(glutathion-S-yl)-2-methylbut-3-en-1-ol // 2-glutathionyl-2-methylbut-3-en-1-ol	CPD-19029	InChIKey=LOAQFXHGDMJPJC-WUAMPTBBSA-M
2-(glutathion-<i>S</i>-yl)-2-methylbut-3-enal	C15H22N3O7S1	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(C=O)C	2-(glutathion-S-yl)-2-methylbut-3-enal // 2-glutathionyl-2-methylbut-3-enal	CPD-19031	InChIKey=KTSZDHMDBQVCIB-WUAMPTBBSA-M
2-(glutathion-<i>S</i>-yl)-2-methylbut-3-enoate	C15H21N3O8S1	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(C([O-])=O)C	2-(glutathion-S-yl)-2-methylbut-3-enoate // 2-glutathionyl-2-methylbut-3-enoate	CPD-19032	InChIKey=GPWMCZLMCJWORL-KZGJKODISA-L
