Compound	Object ID	InChI-Key	SMILES
CPD-17051	CPD-17051	InChIKey=XBSZMUDABCOEST-LDDIKCJXSA-N	C(O)[C@@]14(SS[C@]2(CC3(\[C@@H](N(C(=O)1)2)[C@@H](O)\C=C/C=3))C(=O)N4)
CPD-926	CPD-926	InChIKey=TXCDCPKCNAJMEE-UHFFFAOYSA-N	C1(\C=C/C2(/OC3(\C(/C(\C=1)=2)=C/C=C\C=3)))
CPD-15267	CPD-15267	InChIKey=LQXCSIKDOISJTI-BZSNNMDCSA-N	CC(C)=C[C@@H]1(N4([C@@H](CC2(\C3(/C=C\C=C/C(/NC\1=2)=3)))C(N5([C@@H](C4=O)CCC5))=O))
CPD-14463	CPD-14463	InChIKey=ZASGCNOMAYYQIX-UHFFFAOYSA-M	C([NH2+]CC(=O)[O-])C1(/C=C(\C=C/C(/O)=1)/C([O-])=O)
CPD-22990	CPD-22990	InChIKey=UZFGSEBLPZQQGI-WUBMGLGTSA-N	CC(C)=C[C@@H]1(N2(C6(/C=C(\C=C/C(/C3(/C([C@]4(C(=O)N5(CCC[C@@H](C(N([C@@H](CC(C)(C)OO1)C\2=3)4)=O)5))O)=O))=6)/OC)))
CPD0-1951	CPD0-1951	InChIKey=PJUIMOJAAPLTRJ-UHFFFAOYSA-N	C(S)C(CO)O
CPD-17391	CPD-17391	InChIKey=JTJJJLSLKZFEPJ-LICLKQGHSA-N	C=CC(C)(C)C14(C2(NC(=O)C(/N(C(=O)C(/O)=C\1)2)=C\C3(\N=C/N\C=3))N(OC)C5(/C=C\C=C/C\4=5))
CPD-17179	CPD-17179	InChIKey=ICIIWGMCNMZIQX-NSHDSACASA-N	C(NC(=O)CC[C@H]([NH3+])C(=O)[O-])CC1(\C=C/C(/O)=C\C=1)
CPD-17048	CPD-17048	InChIKey=ZPOFJAVUXVOPNI-YDOWWZDFSA-N	C(S[C@@]2(CC1(\C=C/C=C\C=1))(NC(=O)[C@](SC[C@@H](C([O-])=O)[NH3+])(CO)NC(=O)2))[C@@H](C([O-])=O)[NH3+]
GLUTARIMIDE	GLUTARIMIDE	InChIKey=KNCYXPMJDCCGSJ-UHFFFAOYSA-N	C1(CCCC(N1)=O)=O
CPD-15260	CPD-15260	InChIKey=WEIYXEFMCIRZHC-MWGWWEMPSA-N	CC(C)=CCN1(C5(/C=C(\C=C/C(/C2(/[C@@H]([C@]3(C(=O)N4(CCC[C@@H](C(N([C@@H](C=C(C)C)C\1=2)3)=O)4))O)O))=5)/OC))
CPD-19610	CPD-19610	InChIKey=CMYCCJYVZIMDFU-UHFFFAOYSA-O	C=CC[NH+](C)CCCCCCOC2(\C=C(C(/C(C1(\C=C/C(/Br)=C\C=1))=O)=C/C=2)\F)
CPD-17381	CPD-17381	InChIKey=SPWSUFUPTSJWNG-CXUHLZMHSA-N	C=CC(C)(C)C13(CC4(N(C(NC2(/C=C\C=C/C\1=2))3)C(=O)C(/NC(=O)4)=C\C5(\N=C/N\C=5)))
TRIETHYLAMINE	TRIETHYLAMINE	InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-O	CC[NH+](CC)CC
CPD-17045	CPD-17045	InChIKey=PXYPZMRMTKVYSM-VXGBXAGGSA-N	C(O)[C@]2(O)(NC(=O)[C@](O)(CC1(\C=C/C=C\C=1))NC(=O)2)
CPD-22697	CPD-22697	InChIKey=ULWWOIRVCLMNOB-ZIQFBCGOSA-L	C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@@H]([C@H]([C@@H](OC1(\C=C/C(/[N+](=O)[O-])=C\C=1))O2)O)O)O)
ALPHA-CYCLOPIAZONATE	ALPHA-CYCLOPIAZONATE	InChIKey=CNZIQHGDUXRUJS-PTNHGACKSA-M	CC(\[O-])=C5(C([C@H]1(N(C([C@H]2([C@@H]1C3(\C4(C(/C2)=C/C=C\C(N\C=3)=4))))(C)C)C5=O))=O)
6-CARBOXYHEX-2-ENOYL-COA	6-CARBOXYHEX-2-ENOYL-COA	InChIKey=JLSPXYVUFSDGNY-RGWPIYMPSA-I	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/CCCC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-17378	CPD-17378	InChIKey=YNHVZXATNGMVNC-UHFFFAOYSA-N	C3(\NC4(/C=C\C=C/C(/C(\CC2(NC(=O)C(CC1(\N=C/N\C=1))NC(=O)2))=3)=4))
CPD-11247	CPD-11247	InChIKey=FHPCGYNCGHQRJE-UHFFFAOYSA-M	CC(C)C1(\C(\O)=C(/C=C(\C=1)/O)\C(=O)[O-])
CPD-16744	CPD-16744	InChIKey=ACNHBCIZLNNLRS-UBGQALKQSA-N	CC(O)(C)[C@H]6(O[C@@H]1(C(/[C@@]2(O)([C@](C)(CC1)[C@]3(C)([C@@H](CC2)CC4(\C5(/C=C\C=C/C(/NC\3=4)=5)))))=C\C(=O)6))
CPD-5744	CPD-5744	InChIKey=UIFFUZWRFRDZJC-RBVQMQRASA-N	CCCCCCC1([C@H]([C@@H](OC([C@H]([C@H](OC1=O)C)NC(C2(/C=C\C=C(C(\O)=2)\NC=O))=O)=O)C)OC(CC(C)C)=O)
CPD-17869	CPD-17869	InChIKey=NWBIHDXUFYUNGB-LROXJONJSA-N	C[C@H](OC(=O)C)C5(\N([C@@H]1(C[C@]3(OC(=O)1)(C4(/C=C\C=C/C(/N2(C(=O)C(C)(C)N(O)[C@H]23))=4))))C(=O)C6(/C=C\C=C/C(/N=5)=6))
CPD-9160	CPD-9160	InChIKey=KNAXVHYDFDBJMN-ZPUQHVIOSA-L	C([O-])(=O)C(/Cl)=C\C=C(C([O-])=O)\N
CPD-17360	CPD-17360	InChIKey=FQFSPHHVEQZCED-OALUTQOASA-N	C=CC(C)(C)C3(\NC5(\C(/C(\C[C@H]1(C(N2(CCC[C@@H](C(N1)=O)2))=O))=3)=C/C=C4(C(\C=C/C(C)(C)O4)=5)))
CPD-14381	CPD-14381	InChIKey=SITZRXZBFQSDJO-UHFFFAOYSA-M	C(=O)([O-])C1(\C=C/C\C=C/1)
CPD-17093	CPD-17093	InChIKey=KPZUTHBIYITCQF-VHSSQCAVSA-M	CC(\[O-])=C5(C([C@H]1(N(C([C@H]3([C@@H]1C2(C4(\C(\NC(=O)2)=C/C=C\C(/C3)=4))))(C)C)C5=O))=O)
CPD0-1891	CPD0-1891	InChIKey=WHCOESQZMYXDSU-UHFFFAOYSA-N	CC(C(=O)NCC=O)NC(=O)CCC([NH3+])C([O-])=O
CPD-17395	CPD-17395	InChIKey=JKXUAFUJOVITSU-OQLLNIDSSA-N	C=CC(C)(C)C12(CC4(N(C\1=[N+](C3(/C=C\C=C/C\2=3))/[O-])C(=O)C(/NC(=O)4)=C\C5(\N=C/N\C=5)))
CPD-16941	CPD-16941	InChIKey=BWPSBDLRBZYTLS-ICDJNDDTSA-N	C/C=C/C=C/C=C/C(NC1(/C(=O)CCC(\O)=1))=O
CPD-17357	CPD-17357	InChIKey=ZGWIWQJHQKPWGB-PMACEKPBSA-N	C=CC(C)(C)C3(\NC4(\C(/C(\C[C@H]1(C(N2(CCC[C@@H](C(N1)=O)2))=O))=3)=C/C=C(C(\CC=C(C)C)=4)/O))
FECOSTEROL	FECOSTEROL	InChIKey=SLQKYSPHBZMASJ-QKPORZECSA-N	CC(C)C(CC[C@@H](C)[C@H]2(CC[C@H]3(C4(\CC[C@H]1(C[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4)))))=C
CPD-17052	CPD-17052	InChIKey=FIVPIPIDMRVLAY-RBJBARPLSA-N	CN1(C(=O)[C@@]24(SS[C@@](CO)1C(=O)N([C@H]3(C(/C2)=C/C=C\[C@H](O)3))4))
CPD-19557	CPD-19557	InChIKey=KJOJTPANXQIYQH-UHFFFAOYSA-M	C2(\C=C/C(/C1(C(=O)[O-])(CO1))=C\C=2)
CPD-15268	CPD-15268	InChIKey=CPHRCQUGNAGVIB-FWJAZRMLSA-N	CC(C)=C[C@@H]1(N4([C@@](O)([C@@H](O)C2(\C3(/C=C\C(\OC)=C/C(/NC/1=2)=3)))C(N5([C@@H](C4=O)CCC5))=O))
TETRAHYDROTHIOPHENE-1-OXIDE	TETRAHYDROTHIOPHENE-1-OXIDE	InChIKey=ISXOBTBCNRIIQO-UHFFFAOYSA-N	C1(CCS(C1)=O)
CPD-23421	CPD-23421	InChIKey=LMRCOCQPONDBMR-NLTLFHTOSA-N	CC(C)[C@H]1([C@H](NC(=O)[C@H]([C@H](O)CCC[NH3+])NC(=O)[C@@H](NC(=O)C(O)O)CC(C)C(Cl)Cl)C(=O)NC(\C(=O)N[C@H](C([O-])=O)CC2(/C(=O)C(O)CC(/O1)=2))=C/Cl)
CPD-22491	CPD-22491	InChIKey=DDAJBUQQWFXHDM-UUYKTWPLSA-L	CC(\[C@@H]1([C@H](CC(=O)[O-])[C@@H](C([O-])=O)[NH2+]C1))=C\C/C=C(C)/C(=O)[O-]
CPD-17392	CPD-17392	InChIKey=NNCYWYKIMLRIRQ-OQLLNIDSSA-N	C=CC(C)(C)C13(CC4(N(C(N(O)C2(/C=C\C=C/C\1=2))3)C(=O)C(/NC(=O)4)=C\C5(\N=C/N\C=5)))
5-OXOHEXANOATE	5-OXOHEXANOATE	InChIKey=MGTZCLMLSSAXLD-UHFFFAOYSA-M	CC(=O)CCCC([O-])=O
CPD-17049	CPD-17049	InChIKey=VZGSJJJQZPTKGR-VXGBXAGGSA-N	C(O)[C@]2(S)(NC(=O)[C@](S)(CC1(\C=C/C=C\C=1))NC(=O)2)
CPD-1096	CPD-1096	InChIKey=YBWLIIDAKFNRBL-UHFFFAOYSA-O	CC(=O)SCC[NH3+]
CPD-15261	CPD-15261	InChIKey=ACGHJVZDNQZJOV-BMOJZYMJSA-N	CC(C)=CCO[C@H]3(C2(\C6(/C=C\C(\OC)=C/C(/N1([C@@H](C=C(C)C)OOC(C)(C)C[C@@H](C\1=2)N4(C([C@@H]5(CCCN(C(=O)[C@]34O)5))=O)))=6)))
CPD-56	CPD-56	InChIKey=RTWVXIIKUFSDJB-ZETCQYMHSA-N	C1(/C2(\C[C@H](O)CC(=O)C(\C(\O)=C/C(/O)=1)=2))
CPD-17389	CPD-17389	InChIKey=IQKCBJLWCVXJOG-CXUHLZMHSA-N	C=CC(C)(C)C14(C2(NC(=O)C(/N(C(=O)C(/O)=C\1)2)=C\C3(\N=C/N\C=3))NC5(/C=C\C=C/C\4=5))
CPD-9046	CPD-9046	InChIKey=UHBAPGWWRFVTFS-UHFFFAOYSA-N	C1(\C=C(\C=C/N=1)\SSC2(\C=C/N=C\C=2))
CPD-17046	CPD-17046	InChIKey=YJISLDWVIYDIOE-WGTGPSAHSA-L	C(S[C@@]2(CC1(\C=C/C=C\C=1))(NC(=O)[C@](SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(CO)NC(=O)2))[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-14304	CPD-14304	InChIKey=PCEVUTCFZAQRKV-XGAOUMNUSA-N	CC1(C)([C@H]2(CC(=O)[C@]1(C(=O)C2)C))
BETA-CYCLOPIAZONATE	BETA-CYCLOPIAZONATE	InChIKey=HLDTVPRYVAHRIQ-BQGMYUGNSA-M	CC(C)=CCC2(\C3(C(/C[C@@H]1(NC(C(/C1=O)=C(C)/[O-])=O))=C/NC(\C=C/C=2)=3))
CPD0-1759	CPD0-1759	InChIKey=VRHHCIFJHPYESE-KRWDZBQOSA-N	CCCC(CCC)C(=O)OC[C@@H](OC(C(CCC)CCC)=O)CO
CPD-17379	CPD-17379	InChIKey=ITXQTTPWGBFRNK-GIDUJCDVSA-N	C3(\NC4(/C=C\C=C/C(/C(\CC1(NC(=O)C(/NC(=O)1)=C\C2(\N=C/N\C=2)))=3)=4))
CPD-16843	CPD-16843	InChIKey=ZCFUAGVJMSGCHS-IUCOLISPSA-N	C[C@@]34([C@H]2(CC[C@@]1(C)([C@@H](CCC(C(O)CO)1)[C@@H]2CCC/3=C\C(=O)CC4)))
CPD-16745	CPD-16745	InChIKey=YMPSZJNRZBHLRI-OGYDQXLWSA-N	CC(C)=CCC5(\C=C4(C6(/C[C@H]3([C@@](C)([C@]2(C)([C@](O)(C1(\[C@@H](O[C@H](C(O)(C)C)C(=O)/C=1)CC2))CC3))C(\NC/4=C/C(\CC=C(C)C)=5)=6))))
ENT-KAUR-16-EN-19-OL	ENT-KAUR-16-EN-19-OL	InChIKey=TUJQVRFWMWRMIO-XRNRSJMDSA-N	C=C1([C@H]4(C[C@]3(C1)(CC[C@@H]2([C@](C)(CO)CCC[C@](C)2[C@@H]3CC4))))
CPD-17998	CPD-17998	InChIKey=IIZSEOKGOHTBLK-VNCXRVHJSA-N	C[C@H]5(C[C@@H]3([C@H]([C@@]2(C(=O)[C@@]14([C@](O[C@H]([C@H]1C2\C=C/3)C)(O)[C@@H](N(C(=O)4)C)CO))C)CC5))
CPD-19449	CPD-19449	InChIKey=QENVUHCAYXAROT-YOEHRIQHSA-N	CN3(CC[C@@]14(\C=C/C(=O)C[C@H](OC2(/C/1=C(\C=C/C(/OC)=2)/C3))4))
CPD-17361	CPD-17361	InChIKey=ZPTMKNVJQZMLNE-SSQYTKQRSA-N	C=CC(C)(C)[C@]14([C@@](O)(C[C@H]2(N1C([C@@H]3(CCCN(C2=O)3))=O))C6(\C(\N4)=C5(\C=C/C(C)(C)OC/5=C/C=6)))
SUCCINYL-OH-CYCLOHEXADIENE-COOH	SUCCINYL-OH-CYCLOHEXADIENE-COOH	InChIKey=QJYRAJSESKVEAE-SCZZXKLOSA-L	C1(\C=C([C@H](C(=O)[O-])[C@H](O)\C=1)\C(=O)CCC(=O)[O-])
CPD-17453	CPD-17453	InChIKey=XKTXYYQCJXOOPZ-RBJBARPLSA-N	CN1(C(=O)[C@]2(S)(CC3(\[C@@H](N(C(=O)[C@](S)(CO)1)2)[C@@H](O)\C=C/C=3)))
CPD-22349	CPD-22349	InChIKey=VKALYYFVKBXHTF-UHFFFAOYSA-N	CC1(\C(\SC)=C/C=C(\C=1)/O)
CPD-17358	CPD-17358	InChIKey=RWBYEKCUNMXINJ-RAYWSRASSA-N	CC(C)=CCC2(/C(/O)=C\C=C1(C3(/CC45(NC(=O)C6(C[C@@H](C(C)(C)C(\NC/1=2)=3)4)(CCCN(C5=O)6)))))
5-CHLOROFORMYCIN	5-CHLOROFORMYCIN	InChIKey=BNEHEACQOZFLPX-UOQNBVRUSA-N	C(O)[C@H]1(O[C@H]([C@H](O)[C@H](O)1)C2(\C3(/C(/N/N=2)=C(N)\N=C(/N=3)\Cl)))
CPD-17053	CPD-17053	InChIKey=OVBAGMZLGLXSBN-UOVKNHIHSA-N	CN1(C(=O)[C@]2(SC)(CC3(\[C@@H](N(C(=O)[C@](SC)(CO)1)2)[C@@H](O)\C=C/C=3)))
CPD-10823	CPD-10823	InChIKey=FIKLRROSHXQNFN-UHFFFAOYSA-M	CC1(CC([O-])=O)(\C=C/C(=O)O1)
CPD-15273	CPD-15273	InChIKey=KUGNSEAHJVSMAJ-IRXDYDNUSA-N	C=CC(C)(C)C3(\NC4(\C(/C(\C[C@H]1(C(N2(CCC[C@@H](C(N1)=O)2))=O))=3)=C/C=C\C=4))
CPD-540	CPD-540	InChIKey=PXLGNXWMKNZOAA-UHFFFAOYSA-M	C(O)C1(COP(=O)([O-])O1)
CPD-17393	CPD-17393	InChIKey=UGXLTDJSORIITQ-MHWRWJLKSA-N	C=CC(C)(C)C13(CC4(N(C(N(OC)C2(/C=C\C=C/C\1=2))3)C(=O)C(/NC(=O)4)=C\C5(\N=C/N\C=5)))
CPD-8999	CPD-8999	InChIKey=HKEAOVFNWRDVAJ-UHFFFAOYSA-L	CSCCC(=O)C(=O)COP([O-])(=O)[O-]
CPD-17050	CPD-17050	InChIKey=POIIJAAGMGNXLO-VXGBXAGGSA-N	C(O)[C@@]23(SS[C@@](CC1(\C=C/C=C\C=1))(NC(=O)2)C(=O)N3)
CPD-14128	CPD-14128	InChIKey=AWRLKTYNEGEURZ-JCLMPDJQSA-Q	C([NH3+])[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)O[C@@H]2([C@@H]([NH3+])C[C@H]([C@@H]([C@H]2O)O)[NH3+]))
CPD-15266	CPD-15266	InChIKey=DBEYVIGIPJSTOR-FHWLQOOXSA-N	CC(C)=C[C@@H]1(N4([C@@H](CC2(\C3(/C=C\C(\OC)=C/C(/NC\1=2)=3)))C(N5([C@@H](C4=O)CCC5))=O))
CPD0-1684	CPD0-1684	InChIKey=PGMIWVSHZMWSSI-UHFFFAOYSA-R	CC[NH2+]CCC[NH2+]CCCC[NH2+]CCC[NH2+]CC
CPD-17390	CPD-17390	InChIKey=YEVSOYBNHBOQJZ-CXUHLZMHSA-N	C=CC(C)(C)C14(C2(NC(=O)C(/N(C(=O)C(/O)=C\1)2)=C\C3(\N=C/N\C=3))N(O)C5(/C=C\C=C/C\4=5))
CPD-16636	CPD-16636	InChIKey=DFQICHCWIIJABH-UHFFFAOYSA-N	C1(\C2(\C=C/C(/O)=C\C(/C=C(\C=1)/O)=2))
CPD-17047	CPD-17047	InChIKey=CHBULTTUDAIWDP-HCIHMXRSSA-N	C(S[C@@]2(CC1(\C=C/C=C\C=1))(NC(=O)[C@](SC[C@@H](C(NCC([O-])=O)=O)[NH3+])(CO)NC(=O)2))[C@@H](C(NCC([O-])=O)=O)[NH3+]
DL-6-FLUOROTRYPTOPHAN	DL-6-FLUOROTRYPTOPHAN	InChIKey=YMEXGEAJNZRQEH-UHFFFAOYSA-N	C1(\NC2(/C=C(\C=C/C(/C(\CC(C([O-])=O)[NH3+])=1)=2)/F))
CPD-15259	CPD-15259	InChIKey=LRXYHMMJJCTUMY-GWXUGYLUSA-N	CC(C)=C[C@@H]1(N2(C6(/C=C(\C=C/C(/C3(/[C@@H]([C@]4(C(=O)N5(CCC[C@@H](C(N([C@@H](CC(C)(C)OO1)C\2=3)4)=O)5))O)O))=6)/OC)))
CPD-19429	CPD-19429	InChIKey=YGPRSGKVLATIHT-BEMMVCDISA-N	CO[C@@H]4(\C=C/[C@@]15([C@H](O)CN(CC2(\C1=CC3(\OCOC(/C=2)=3)))[C@@H](C4)5))
CPD-17372	CPD-17372	InChIKey=GFJKJLHWWZXDAU-KXFGNQBASA-L	C(O)CCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])([O-])=O)O
SEPO3	SEPO3	InChIKey=JRPHGDYSKGJTKZ-UHFFFAOYSA-L	[O-]P([O-])(O)=[Se]
CPD-22198	CPD-22198	InChIKey=GOTSPIQWNXNTJN-DBDVOEHXSA-M	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](C[C@H](O)CCC/C=C/C=C/C([O-])=O)O[C@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
CPD-22218	CPD-22218	InChIKey=DLHLOYYQQGSXCC-DOFZRALJSA-O	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OCC[NH3+]
CPD-21480	CPD-21480	InChIKey=IJASURGZDJYQGF-JBHOHIEMSA-N	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](C[C@H](O)CO)O[C@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
4812-TRIMETHYLTRIDECANOYL-COA	4812-TRIMETHYLTRIDECANOYL-COA	InChIKey=ZYUOZFCHODHLHG-LEJRVOBCSA-J	CC(C)CCCC(C)CCCC(C)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-22194	CPD-22194	InChIKey=KRUGJXMIOXHJEU-VVYDIQHDSA-N	C=C4(C[C@@]([C@H](O)C(N[C@H]3(OCO[C@@H]2([C@@H](OC)C(C)(C)[C@@H](C[C@H]1(CCCC(O)O1))O[C@H]23)))=O)(OC)O[C@H](C)[C@H](C)4)
CPD-10770	CPD-10770	InChIKey=WKBKOGZMQJTIED-IAYFEUEDSA-L	C[C@H](C1([C@H](C)NC2(/N=C(N)\NC(C(/N=1)=2)=O)))NC4(\C=C/C(\C[C@@H]([C@@H]([C@@H](CO[C@@H]3([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O3))O)O)O)=C\C=4)
CPD-21471	CPD-21471	InChIKey=ZNEZZONMADKYTB-VRCUBXEUSA-N	C=C2([C@@H](C)[C@@H](C)O[C@]([C@H](O)C(=O)N[C@@H](OC)[C@@H]1(C[C@@H](O)C(C)(C)[C@H](C[C@H](OC)COC)O1))(OC)C2)
CPD-5061	CPD-5061	InChIKey=DYOMGPBEPIHZAA-UHFFFAOYSA-L	C(CC(=O)C(=O)[O-])CC(=O)C(=O)[O-]
CPD-22213	CPD-22213	InChIKey=XXPKXSKJNMBYRZ-CNPVEUJNSA-N	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](C[C@H](O)CCC/C=C/C=C/C=C/C(=O)N[C@H](C([O-])=O)CCCNC(N)=[NH2+])O[C@@H]12)))=O)(O)O[C@H](C)[C@H](C)3)
CPD-8871	CPD-8871	InChIKey=PYLWMHQQBFSUBP-UHFFFAOYSA-N	C1(\C=C/C(/F)=C\C=1)
CPD-22191	CPD-22191	InChIKey=DCZMMILMODFEMS-AUYDAGNDSA-N	C=C2(C[C@@]([C@H](O)C(NC[C@H]1(O[C@H](CO)C(C)(C)[C@H](O)[C@@H](O)1))=O)(OC)O[C@H](C)[C@H](C)2)
CPD-14083	CPD-14083	InChIKey=YXJHZIOEJRCYHK-UHFFFAOYSA-M	C1(/C=C(NC(=O)C(/[O-])=1)/O)
CPD-22210	CPD-22210	InChIKey=VDRCSBQXNGQNBW-BQGVFEKPSA-N	C=C4(C[C@@]([C@H](O)C(N[C@H]3(OCO[C@@H]2([C@@H](OC)C(C)(C)[C@@H](C[C@@H]1(OC(C(=O)/C=C/C=C/C(=O)N[C@H](C([O-])=O)CCCNC(N)=[NH2+])[C@@H](O)CC1))O[C@@H]23)))=O)(OC)O[C@H](C)[C@H](C)4)
CPD0-1652	CPD0-1652	InChIKey=RIKMMFOAQPJVMX-UHFFFAOYSA-N	CC1(\C=N/N\C=1)
CPD-22187	CPD-22187	InChIKey=BNNIEBYABSNREN-CYRUSRGFSA-N	C=C(C)C[C@H](OC)[C@H](O)C(=O)N[C@@H](OC)[C@@H]3(C[C@@H](O)C(C)(C)[C@@H](C[C@H](O)[C@@H](C)[C@H]1(CC2(/C(\C)=C(/C=C(C(/C(=O)O1)=2)/O)/O)))O3)
CPD-16477	CPD-16477	InChIKey=TZCMIDUYESNULG-UHFFFAOYSA-N	CP(OC1(\C=C/C(/N(=O)=O)=C\C=1))(=O)OCCCCC5(\C=C/C6(C3(\C=C/C=C2(\C=C/C=C(C2=3)C4(C(C(/C=C\C=4)=5)=6)))))
CPD-22202	CPD-22202	InChIKey=PSOMSXIQCPHRCJ-HIXQHMBUSA-M	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](C[C@@H](/C=C/C/C=C/C=C/C([O-])=O)OC)O[C@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
DIISOPROPYL-PHOSPHATE	DIISOPROPYL-PHOSPHATE	InChIKey=WZPMZMCZAGFKOC-UHFFFAOYSA-M	CC(C)OP([O-])(=O)OC(C)C
CPD-22183	CPD-22183	InChIKey=XWFDVJNZERXRSB-KHWGNZPASA-N	C=C2([C@@H](C)[C@@H](C)O[C@]([C@H](O)C(=O)N[C@@H](OC)[C@@H]1(CC(=O)C(C)(C)[C@@H](C[C@@H](COC)OC)O1))(OC)C2)
CPD-19391	CPD-19391	InChIKey=LHZRHABMHMXATL-UHFFFAOYSA-M	C([O-])(=O)OC1(/C=C(\C=C/C(/N)=1)/Cl)
CPD-22199	CPD-22199	InChIKey=GSZPCYDVSQSFCR-MORDQCKUSA-M	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](CC(=O)CCC/C=C/C=C/C([O-])=O)O[C@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
S-RETICULINE	S-RETICULINE	InChIKey=BHLYRWXGMIUIHG-HNNXBMFYSA-O	C1([NH+]([C@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC3(\C=C/C(/OC)=C(\C=3)/O))C)
CPD-22180	CPD-22180	InChIKey=YEOHBVHDIRWTMZ-UGJMJYKZSA-N	C=C4(C[C@@]([C@H](O)C(N[C@H]3(OCO[C@@H]2([C@@H](OC)C(C)(C)[C@@H](C[C@H]1(CCCC(=O)O1))O[C@H]23)))=O)(OC)O[C@H](C)[C@H](C)4)
CPD-2202	CPD-2202	InChIKey=WTQYWNWRJNXDEG-RBZJEDDUSA-O	C[NH+]1([C@@H]2([C@@H](O)C[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C3(\C=C/C=C\C=3)))
CPD-22196	CPD-22196	InChIKey=QLDOXRUFJHMOHG-TUKKCKGYSA-N	C=C4(C[C@@]([C@H](O)C(N[C@H]3(OCO[C@@H]2([C@@H](OC)C(C)(C)[C@@H](C[C@H]1(CCC(=O)O1))O[C@H]23)))=O)(OC)O[C@H](C)[C@H](C)4)
4-MALEYL-ACETOACETATE	4-MALEYL-ACETOACETATE	InChIKey=GACSIVHAIFQKTC-UPHRSURJSA-L	C([O-])(=O)\C=C/C(=O)CC(=O)CC([O-])=O
CPD-21478	CPD-21478	InChIKey=YWUNVHXKGMPHDM-AMTQNMNTSA-N	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](OC)C(C)(C)[C@@H](C[C@H](O)CCC/C=C/C=C/C=C/C(=O)N[C@H](C([O-])=O)CCCNC(N)=[NH2+])O[C@@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
CPD-19366	CPD-19366	InChIKey=IEOHIIKLCPXBPO-KVBMOJSRSA-O	CC(N[C@@H]4([C@H]([C@@H]([C@@H](CO)O[C@H](O[C@H]3([C@H]([NH3+])[C@@H](O)[C@@H](O)[C@@H](CC([C@@H]2([C@@H](O)[C@@H](O)[C@H](N1(\C=C/C(=O)NC1=O))O2))O)O3))4)O)O))=O
CPD-22214	CPD-22214	InChIKey=DOERNKDPZZWHPM-QTDQEMFMSA-M	C=C2(C[C@@]([C@H](O)C(N[C@@H](OC)[C@H]1(O[C@H](C[C@H](O)CCC/C=C/C=C/C([O-])=O)C(C)(C)[C@H](OC)C1))=O)(OC)O[C@H](C)[C@H](C)2)
S-METHYL-3-PHOSPHO-1-THIO-D-GLYCERATE	S-METHYL-3-PHOSPHO-1-THIO-D-GLYCERATE	InChIKey=VSSDMJHMYISZJU-GSVOUGTGSA-L	CSC(=O)[C@@H](COP([O-])(=O)[O-])O
CPD-22192	CPD-22192	InChIKey=MPSRCJWTLGCJFM-GBFCGSDTSA-N	C=C3(C[C@@]([C@H](O)C(N[C@H]2(OCO[C@@H]1([C@@H](O)C(C)(C)[C@@H](C[C@H](O)CO)O[C@H]12)))=O)(OC)O[C@H](C)[C@H](C)3)
